File Name;Type;Creator;Comments;Category;Extension;Dup;Data by Ilan Szekely, Jerusalem
RotoDV™—Black & White Set;BSET;®∂mø;RotoDV™;;; ;
RotoDV™—Color Set;CSET;®∂mø;RotoDV™;;; ;
RotoDV™—Preferences;PREF;®∂mø;RotoDV™;Pref;; ;
RotoDV™—Media File;ROTO;®∂mø;RotoDV™;;; ;
RotoDV™—Graphic File;TSET;®∂mø;RotoDV™;Graphics;; ;
SKSettings—Settings File;®SK≈;®SK2;SKSettings;;; ;
SKSettings;APPL;®SK2;Opus Software;Application;; ;
PICT/TEXTtoClip;APPL;∏†ç∑; ;Application; ; ;
PICTtoClip;APPL;∏†ç¬; ;Application; ; ;
∏° ClipClop—Graphics File;∏°CC;∏°CC;∏° ClipClop;  ; ; ;
∏° ClipClop 1.1;APPL;∏°CC; ;Application; ; ;
∏° FileInfo;cdev;∏°FI; ;Control Panel; ; ;
∏° TextTrap;cdev;∏°TT; ;Control Panel; ; ;
Pathways Into Cheating;APPL;∏îÇ ;  ;Application/Game; ; ;
Goldberg;APPL;∏≈g2;Opus Software;Application;;;
Goldberg—QuickTime Format Media File;MooV;∏≈g2;Goldberg;QuickTime Movie;MOV;;
Goldberg—PICT Format Graphics File;PICT;∏≈g2;Goldberg;Graphics PICT;PIC;;
Goldberg—QuickTime TIFF Format Graphics File;qtif;∏≈g2;Goldberg;Graphics TIFF;TIF;;
PowerPCheck FAT;APPL;∏Ck2;PowerPCheck 3.0.2;Application; ; ;
Check—Disk file;disk;∏Ck2;PowerPCheck;Disk File; ; ;
Check—Folder file;fold;∏Ck2;PowerPCheck;Folder File; ; ;
PowerPCheck Prefs;pref;∏Ck2;PowerPCheck;Pref; ; ;
POD Documentation;APPL;∏doc; ;Application; ; ;
POD Player;APPL;∏odπ; ;Application; ; ;
POD Master—Characters;∏od∂;∏odµ;POD Master;  ; ; ;
POD Master;APPL;∏odµ; ;Application; ; ;
POD Master—Saved Game;svgm;∏odµ;POD Master;  ; ; ;
MacMasterMind;APPL;∏RMS; ;Application; ; ;
POD 1.0.5-> 1.0.6;APPL;∏upd; ;Application; ; ;
Process Manager;sdev;∏µg®; ;Control Strip Module; ; ;
FB Prefs;pref;__:_;;Pref; ; ;
SndPlayFile;APPL;__68;;Application; ; ;
CD Controler;sdev;_)_D;;Control Strip Module; ; ;
Process Managerod;sdev;_85_;;Control Strip Module; ; ;
Billiard Parlour;APPL;_AIT; ;Application; ; ;
ArtValve™ 1.0 Remover;APPL;_AV_; ;Application; ; ;
Trash%Desktop—Disk File;disk;_DB_;;Disk File; ; ;
SoundMaker Demo Engine;_Eng;_Eng;;; ; ;
FrontDoor Appl;APPL;_FD_; ;Application; ; ;
FrontDoor;appe;_FDE; ;Background Only Application; ; ;
FDInstaller;APPL;_FDI; ;Application; ; ;
FrontDoor Startup;APPL;_FDL; ;Application; ; ;
Filter Data—Document;_Flt;_Flt;Opcode Systems, Inc.;; ; ;
Filter Data—Data File;DATA;_Flt;Opcode Systems, Inc.;Data File; ; ;
ReadLuminanceMeter.PPC;APPL;_FWC; ;Application; ; ;
VideoIN—PICT Format Graphics File;PICT;_i60;;Graphics PICT;PIC; ;
VideoIN—Preferences;pref;_i60;;Pref; ; ;
_Launch 3.0;APPL;_Lnc; ;Application; ; ;
Auto128;TEXT;_LS_; ;Text File;TXT; ;
Al Unser Jr•EU_Mac.EXE;APPL;_LS1; ;Application; ; ;
Al Unser Jr—Data File;DATA;_LS1;Al Unser Jr;Data File; ; ;
Al Unser Jr—Document;FILE;_LS1;Al Unser Jr;  ; ; ;
Al Unser Jr—Library File;LIBS;_LS1;Al Unser Jr;Library; ; ;
Al Unser Jr—Text File;TEXT;_LS1;Al Unser Jr;Text File;TXT; ;
Space Gypsy Prefseren;_nPf;_nL_;21;Pref; ; ;
ODS;APPL;_ODS; ;Application; ; ;
SmartDelete;INIT;_SD_;;INIT; ; ;
MultiDog;APPL;_TD_;  ;Application/Game; ; ;
Vocode Data—Document;_Vcd;_Vcd;Opcode Systems, Inc.;; ; ;
Vocode Data—Data File;DATA;_Vcd;Opcode Systems, Inc.;Data File; ; ;
Vinyl Data—Document;_Vnl;_Vnl;Opcode Systems, Inc.;; ; ;
Vinyl Data—Data File;DATA;_Vnl;Opcode Systems, Inc.;Data File; ; ;
Spooling;pext;≠-34; ;Printer Extension; ; ;
Interferon;APPL;≠VIR;;Application; ; ;
Stratos—ReadMe;????;----; ;; ; ;
Quicktime Movie;MooV;----; ;QuickTime Movie;MOV; ;
graphicConvert PhotoCD Plug-in;PLUG;----;document;Plug-in Module; ; ;
Dan's PASCAL Source Converter;APPL;->^.; ;Application; ; ;
PDP-8/E Simulator package;APPL;->PN;related utility;Application; ; ;
PDP-8/E Simulator package;APPL;->RK;related utility;Application; ; ;
Cannon Fodder;APPL;-d(|;  ;Application/Game; ; ;
MacUser'sInstallTracker 1.0.1;APPL;-IT-; ;Application; ; ;
Outpost Nexus—Preferences;prëf;ñxüß;Outpost Nexus;Pref; ; ;
SampleText.68K;APPL;ó·ï∂; ;Application; ; ;
chopper;AIcn;";-) ";Kineticon Editor;  ; ; ;
Kineticon Editor;APPL;";-) ";Create animated icons;Application; ; ;
Kineticon Editor—Preferences;pref;";-) ";;Pref; ; ;
BookMarker;APPL;:-{);URL Clerk 1.2;Application; ; ;
BookMarker—Clipping File;clpt;:-{);BookMarker;Clipping File - TEXT; ; ;
BookMarker—Launcing File;clpT;:-{);BookMarker;Clipping File; ; ;
BookMarker—Text File;TEXT;:-{);BookMarker;Text File;TXT; ;
BookMarker—URL File;URL ;:-{);BookMarker;URL; ; ;
SampleControlPanel;cdev;:)cp; ;Control Panel; ; ;
Agent Group—Clipping File;RECO;!!!!;;;; ;
TIFF Reader;APPL;!@#$; ;Application; ; ;
Rekursion;APPL;!7Lb; ;Application; ; ;
Aha!;APPL;!AHA;;Application;; ;
Harmony for Photoshop;CXPd;!BC!;;; ; ;
Microsoft Close Combat;APPL;!CC!;  ;Application/Game; ; ;
Microsoft Close Combat—Sprites?;bSPR;!CC!;Close Combat;; ; ;
Microsoft Close Combat—????;bTIL;!CC!;Close Combat;; ; ;
Microsoft Close Combat—Last Battle!;CCOL;!CC!;Close Combat;  ; ; ;
Microsoft Close Combat—Data File;DATA;!CC!;Close Combat;Data File/Game; ; ;
Microsoft Close Combat—Line of Sight;LOSM;!CC!;Close Combat;; ; ;
Microsoft Close Combat preference file;pref;!CC!;Close Combat;Pref; ; ;
Microsoft Close Combat—Resource File;rsrc;!CC!;Close Combat;Resource; ; ;
Microsoft Close Combat—BatNames;TEXT;!CC!;Close Combat;Text File;TXT; ;
Cloudz 1.0.3;APPL;!CL!;  ;Application/Game; ; ;
Cloudz—Document;AWAW;!CL!;Cloudz 1.0.3;Game; ; ;
Soundz;s)Gm;!CL!;Cloudz 1.0.3;Game; ; ;
!Dos;APPL;!Dos; ;Application; ; ;
HD Spin Down II;sdev;!DSK; ;Control Strip Module; ; ;
Flight Dynamics;APPL;!EFS;  ;Application/Game; ; ;
Greetings! Settings;cdev;!G*^; ;Control Panel; ; ;
Members Only;APPL;!GST; ;Application; ; ;
Disk Ejector;INIT;!HA!;;INIT; ; ;
no kaboom;pext;!Kbm; ;Printer Extension; ; ;
Calendar;sdev;!MDY; ;Control Strip Module; ; ;
ImageEvents;APPL;!mGé;Melonsoft;Application;;;
OSA Script;sdev;!OSA; ;Control Strip Module; ; ;
NoPowerOffKey;INIT;!PWR;;INIT; ; ;
AppleTalk II;sdev;!SLP; ;Control Strip Module; ; ;
Symbionts Control;cdev;!SYM;!Symbionts;Control Panel; ; ;
!Symbionts;INIT;!SYM;!Symbionts;INIT; ; ;
Symbionts Preferences;PREF;!SYM;!Symbionts;Pref; ; ;
!Symbionts;scri;!SYM;!Symbionts;Script/Extension; ; ;
tclEngine;APPL;!Tcl; ;Application; ; ;
CircleLines.PPC;APPL;°Lin; ;Application; ; ;
HTM.HTM;?--?;?--?; ;  ; ; ;
???->TEXT;APPL;?->T;Conversion?;Application; ; ;
9400PS;TEXT;??? ; ;Text File;TXT; ;
Marriage1;mars.01;????;Unspecified Creator;  ; ; ;
Funkt.rsr;    ;????; ;Unspecified Type; ; ;
EN_HYP.DAT;_DB ;????;Unspecified Creator;  ; ; ;
MO_BMP.DLL;_DLL;????;Unspecified Creator;  ; ; ;
Stuffit Deluxe 5 tar File;????;????;Unspecified Creator;  ; ; ;
Shark Model;3DMF;????;Unspecified Creator;3D image 3DMF; ; ;
Blue Gradiation;8BIM;????;Unspecified Creator;Graphics Photoshop;PSD; ;
_Anlagedatei;AEAF;????;Unspecified Creator;  ; ; ;
Message from Joe;AIFF;????;Unspecified Creator;Sound AIFF;AIF; ;
AlphaSound / Umbra™;appe;????;Unspecified Creator;Background Only Application; ; ;
Adobe Type Manager;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
AutoCAD;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Bloodsuckers;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Boxes;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
C++;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
ClayScape3D;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
CLIM;APPL;????;DOS-like command-line interpreter for the Mac;Application/Dup; ;Dup;
Convert PICT;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Dragon's Lair;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Dragon's Lair;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
DragPeeker;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
DragPeeker;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
DSEdit / OSC Edit;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
eject all removables;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Encarta;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
flattenMooV;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
FreeRam1.1;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
HellFolderFix;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
IGGY IGGOPOLIS!!!!!!!!!;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Kai's Power Tools;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
MacSokoban score mover 3.0;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
MagiC MMU Test;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Mailbox Extraction Tool;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
MasterGuess;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Mathcad;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Maze Man;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Maze Warz;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
MPEG Audio for Macintosh;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
MPGPC Manual;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Nim;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Pongerang;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Postcards ad;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
SAM;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
Space Ace;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
Space Ace;APPL;????;Unspecified Creator;Application/Game/Dup; ;Dup;
UnArj Mac;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
WordSCAN.1;APPL;????;Unspecified Creator;Application/Dup; ;Dup;
köln_prevalence;APRI;????;Unspecified Creator;  ; ; ;
Generic binary file;BINA;????;Unspecified Creator;Binary;BIN; ;
Classic II;BMRK;????;Unspecified Creator;  ; ; ;
CAT-DATA-NOTES;CATN;????;Unspecified Creator;  ; ; ;
Hidden Finder Features;cdev;????;Unspecified Creator;Control Panel; ; ;
Marathon Colors;CLUT;????;Unspecified Creator;  ; ; ;
Build Disk Data;CmCp;????;Unspecified Creator;  ; ; ;
Classic VRAM test;CODE;????;Unspecified Creator;  ; ; ;
Bulletins;CPY5;????;Unspecified Creator;  ; ; ;
Critical Path Solution;crit;????;Unspecified Creator;  ; ; ;
Hilliard Lakes Country Club;CRSE;????;Unspecified Creator;  ; ; ;
Digests&InfoIndex.k;CTLZ;????;Unspecified Creator;  ; ; ;
Category.idx;CTRE;????;Unspecified Creator;  ; ; ;
A4_Ausschnitt_UP;data;????;Unspecified Creator;Data File; ; ;
MagiCMac OS;DATA;????;Unspecified Creator;Data File; ; ;
ARMOR.dcMov;dcMV;????;Unspecified Creator;  ; ; ;
Secret About Box;dfil;????;Unspecified Creator;System 7 DA; ; ;
Dictionary;DICT;????;Unspecified Creator;Dictionary;DIC; ;
Card Backs by Andy Szybalski;dxCB;????;Unspecified Creator;  ; ; ;
Classic Deck;dxDK;????;Unspecified Creator;  ; ; ;
Backgrounds from Isaac Church;dxPB;????;Unspecified Creator;  ; ; ;
tracebursting;…9Uj;????;Unspecified Creator;  ; ; ;
Final Stats;ENDS;????;Unspecified Creator;  ; ; ;
Generic EPS file;EPSF;????;Unspecified Creator;EPS;EPS; ;
DBF_Export;F+DB;????;Unspecified Creator;.DBF Data Base;DBF; ;
ColorFonts;FFIL;????;Unspecified Creator;Font suitcase; ; ;
Preview FKEY-6;FKEY;????;Unspecified Creator;Fkey; ; ;
AUTORE.GIF;GIFf;????;Unspecified Creator;Graphics GIF;GIF; ;
TF Pro Help;help;????;Unspecified Creator;Help; ; ;
Pearl Help;HELP;????;Unspecified Creator;Help; ; ;
title.image;Imag;????;Unspecified Creator;Disk Image; ; ;
eval.ind;indx;????;Unspecified Creator;Index; ; ;
Dragging Enabler / KeyCrasher;INIT;????;Unspecified Creator;INIT; ; ;
carpenter;JPEG;????;Unspecified Creator;Graphics JPEG;JPG; ;
Help File;JZxç;????;Unspecified Creator;  ; ; ;
Argentina Contacts keys;keys;????;Unspecified Creator;  ; ; ;
Language;LANG;????;Unspecified Creator;Language/Dictionary Module; ; ;
PANEL.MAC;LBpg;????;Unspecified Creator;  ; ; ;
True.π.rsrc;LDEF;????;Unspecified Creator;  ; ; ;
Lease.Dat;LEAS;????;Unspecified Creator;  ; ; ;
holonet-info;macb;????;Unspecified Creator;  ; ; ;
FirstMail.1.dat;MAIL;????;Unspecified Creator;  ; ; ;
ameoba;MCID;????;Unspecified Creator;  ; ; ;
PCNET.TXT;mdos;????;Unspecified Creator;DOS File; ; ;
QTMIDI-Test.mid;Midi;????;Unspecified Creator;Sound MIDI;MID; ;
GetTCPPatch Module;ModL;????;Unspecified Creator;  ; ; ;
YARCHydraPCIDriver;ndrv;????;Unspecified Creator;Extension-Driver; ; ;
LAT Module;NMEI;????;Unspecified Creator;  ; ; ;
OffLine Prefs;OFFp;????;Unspecified Creator;  ; ; ;
ANT_.DOT;pBIN;????;Unspecified Creator;  ; ; ;
AD TIC Train.PICS;PICS;????;Unspecified Creator;Animation PICS; ; ;
Hawthorn PICT;PICT;????;Unspecified Creator;Graphics PICT;PIC; ;
ADSPNetMgr;PMgr;????;Renderman;Extension; ; ;
glyph.pbm;PPGM;????;Unspecified Creator;  ; ; ;
Generic preference file;pref;????;Unspecified Creator;Pref; ; ;
Meldungen;RESO;????;Unspecified Creator;  ; ; ;
Lissajous.code (FPU);rsed;????;Unspecified Creator;  ; ; ;
Sounds;rsrc;????;Unspecified Creator;Resource; ; ;
SPHelp;RSRC;????;Unspecified Creator;Resource; ; ;
Mankala Prefs;rtbP;????;Unspecified Creator;  ; ; ;
Saved simulation;SAVE;????;Unspecified Creator;  ; ; ;
StartupScreen;SCRN;????;Unspecified Creator;Graphics Startup Screen; ; ;
Soundtrack;sfil;????;Unspecified Creator;Sound System 7; ; ;
game.shapes;Shap;????;Unspecified Creator;  ; ; ;
Generic shared library;shlb;????;Unspecified Creator;Shared Library; ; ;
Connections;SIBC;????;Unspecified Creator;  ; ; ;
MacProject II to MacSchedule;SIMA;????;Unspecified Creator;  ; ; ;
Dungeon.dat;SKDN;????;Unspecified Creator;  ; ; ;
Hand.skel;SkEl;????;Unspecified Creator;  ; ; ;
Body.skin;SkIn;????;Unspecified Creator;  ; ; ;
a scale;SMSQ;????;Unspecified Creator;  ; ; ;
Spectre Settings;SPEC;????;Unspecified Creator;Pref; ; ;
map.dat;STAR;????;Unspecified Creator;  ; ; ;
Generic text file;TEXT;????;Unspecified Creator;Text File;TXT; ;
MagicMatch CMM v2.1;thng;????;;Extension/Dup; ;Dup;
QuickTime™ Video Handler;thng;????;Unspecified Creator;Extension/Dup; ;Dup;
Arrows.tif;TIFF;????;Unspecified Creator;Graphics TIFF;TIF; ;
Generic preference file;TLCD;????;The Learning Company;Pref; ; ;
CAT.V12;V12 ;????;Unspecified Creator;  ; ; ;
Classic Video test;VBRD;????;Unspecified Creator;  ; ; ;
codeTable;VIDT;????;Unspecified Creator;  ; ; ;
Speech.vep;VIPP;????;Unspecified Creator;  ; ; ;
Layered Res;VWIR;????;Unspecified Creator;  ; ; ;
TurnSignals index;WDF ;????;Unspecified Creator;  ; ; ;
TurnSignals index.idx;WDFi;????;Unspecified Creator;  ; ; ;
Wordtris Settings;Wt[X;????;Unspecified Creator;  ; ; ;
High Scores;Wt{X;????;Unspecified Creator;  ; ; ;
Color Wordtris Resources;WtrC;????;Unspecified Creator;  ; ; ;
fourier;XCMD;????;Unspecified Creator;HyperCard XCMD; ; ;
DOS-Beispiel.xm;XMCR;????;Unspecified Creator;  ; ; ;
AAA.srf;xSRF;????;Unspecified Creator;  ; ; ;
SSUTestApp.code;xxxx;????;Unspecified Creator;  ; ; ;
Recent Updates;zFFD;????;Unspecified Creator;  ; ; ;
Deskwriter Font;BINA;???…; ;Binary;BIN; ;
Help Lock;INIT;?LOK;;INIT; ; ;
Question;APPL;?mrk; ;Application; ; ;
Wave 15;APPL;?z$ ;  ;Application/Game; ; ;
Offroading—Course File;Cors;øƒ®∂;Offroading;  ; ; ;
QuickEditor—Windows BitMap Format Graphics File;BMPf;._6!;QuickEditor;Graphics BMP;BMP; ;
QuickEditor—Digital Video File;dvc!;._6!;QuickEditor;Digital Video File; ; ;
QuickEditor—GIF Format Graphics File;GIFf;._6!;QuickEditor;Graphics GIF;GIF; ;
QuickEditor—JPEG Format Graphics File;JPEG;._6!;QuickEditor;Graphics JPEG;JPG; ;
QuickEditor—MIDI Format Music File;MIDI;._6!;QuickEditor;Sound MIDI;MID; ;
QuickEditor—QuickTime Media File;MooV;._6!;QuickEditor;QuickTime Movie;MOV; ;
QuickEditor—MPEG File;MPEG;._6!;QuickEditor;Movie MPEG;MPG; ;
QuickEditor—PICT Animation File;PICS;._6!;QuickEditor;Animation PICS; ; ;
QuickEditor—PICT Format Graphics File;PICT;._6!;QuickEditor;Graphics PICT;PIC; ;
QuickEditor—MacPaint Format Graphics File;PNTG;._6!;QuickEditor;Graphics MacPaint;MPT; ;
QuickEditor—QuickTime GX Format Graphics File;qdgx;._6!;QuickEditor;Graphics GX; ; ;
QuickEditor—QuickTime TIFF Format Graphics File;qtif;._6!;QuickEditor;Graphics TIFF;TIF; ;
QuickEditor—Sound Design II Format Sound File;Sd2f;._6!;QuickEditor;Sound Sound Design II; ; ;
QuickEditor—TARGA Format Graphics File;TPIC;._6!;QuickEditor;Graphics TARGA;TGA; ;
QuickEditor—Tracks File;trak;._6!;QuickEditor;; ; ;
QuickEditor—Sun AU Format Sound File;ULAW;._6!;QuickEditor;Sound ULAW;AU; ;
QuickEditor—Video for Windows AVI File;VfW ;._6!;QuickEditor;Movie AVI;AVI; ;
QuickEditor—Windows WAVE Format Sound File;WAVE;._6!;QuickEditor;sound WAV;WAV; ;
SimpleTime FAT;APPL;Ö©WC; ;Application; ; ;
WeitekTestApp;APPL;Övid; ;Application; ; ;
